quadra;lote;status;valor;observacao;atualizado_em
14;14;nao_informado;;;
14;15;nao_informado;;;
14;16;nao_informado;;;
14;17;nao_informado;;;
14;18;nao_informado;;;
15;1;nao_informado;;;
15;2;nao_informado;;;
15;3;nao_informado;;;
15;4;nao_informado;;;
15;5;nao_informado;;;
15;6;nao_informado;;;
15;7;nao_informado;;;
15;8;nao_informado;;;
15;9;nao_informado;;;
15;10;nao_informado;;;
15;11;nao_informado;;;
15;12;nao_informado;;;
15;13;nao_informado;;;
15;14;nao_informado;;;
15;15;nao_informado;;;
15;16;nao_informado;;;
15;17;nao_informado;;;
15;18;nao_informado;;;
15;19;nao_informado;;;
15;20;nao_informado;;;
16;1;nao_informado;;;
16;2;nao_informado;;;
16;3;nao_informado;;;
16;4;nao_informado;;;
16;5;nao_informado;;;
16;6;nao_informado;;;
16;7;nao_informado;;;
16;8;nao_informado;;;
16;9;nao_informado;;;
16;10;nao_informado;;;
16;11;nao_informado;;;
16;12;nao_informado;;;
16;13;nao_informado;;;
16;14;nao_informado;;;
16;15;nao_informado;;;
16;16;nao_informado;;;
16;17;nao_informado;;;
16;18;nao_informado;;;
17;1;nao_informado;;;
17;2;nao_informado;;;
17;3;nao_informado;;;
17;4;nao_informado;;;
17;5;nao_informado;;;
17;6;nao_informado;;;
17;7;nao_informado;;;
17;8;nao_informado;;;
17;9;nao_informado;;;
17;10;nao_informado;;;
17;11;nao_informado;;;
17;12;nao_informado;;;
17;13;nao_informado;;;
17;14;nao_informado;;;
17;15;nao_informado;;;
17;16;nao_informado;;;
17;17;nao_informado;;;
17;18;nao_informado;;;
18;1;nao_informado;;;
18;2;nao_informado;;;
18;3;nao_informado;;;
18;4;nao_informado;;;
18;5;nao_informado;;;
18;6;nao_informado;;;
18;7;nao_informado;;;
18;8;nao_informado;;;
18;9;nao_informado;;;
18;10;nao_informado;;;
18;11;nao_informado;;;
18;12;nao_informado;;;
18;13;nao_informado;;;
18;14;nao_informado;;;
18;15;nao_informado;;;
18;16;nao_informado;;;
18;17;nao_informado;;;
18;18;nao_informado;;;
18;19;nao_informado;;;
18;20;nao_informado;;;
18;21;nao_informado;;;
18;22;nao_informado;;;
18;23;nao_informado;;;
18;24;nao_informado;;;
18;25;nao_informado;;;
18;26;nao_informado;;;
18;27;nao_informado;;;
18;28;nao_informado;;;
18;29;nao_informado;;;
18;30;nao_informado;;;
18;31;nao_informado;;;
18;32;nao_informado;;;
18;33;nao_informado;;;
18;34;nao_informado;;;
18;35;nao_informado;;;
